Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
Transferrin,Donor born outside of Sweden,12,,
Hemoglobin,Storage time,32596,1.4241318E-21,8.4166187E-19
Hemoglobin,Donor Hb,32298,7.1588662E-20,2.1154450E-17
Hemoglobin,Donor sex,32621,5.2978280E-13,1.0436721E-10
Erythrocyte count,Storage time,4287,2.8870069E-09,4.2655527E-07
Lymphocyte count,Weekday of donation,110,2.7535219E-07,3.2546629E-05
CO-Hb,Storage time,12137,3.4722328E-05,3.4201493E-03
Mean corpuscular hemoglobin,Storage time,4318,1.0045534E-04,8.4813011E-03
Mean corpuscular volume,Storage time,4296,2.9033727E-04,1.9065481E-02
Potassium,Storage time,19644,2.7155045E-04,1.9065481E-02
Mean corpuscular hemoglobin concentrati,Donor Hb,2685,6.0169989E-04,2.3706976E-02
Sodium,Storage time,19430,5.0040220E-04,2.3706976E-02
Mean corpuscular hemoglobin concentrati,Donor Hb,2685,6.0169989E-04,2.3706976E-02
Mean corpuscular hemoglobin concentrati,Donor Hb,2685,6.0169989E-04,2.3706976E-02
Lymphocyte count,Age of Donor,110,4.2119411E-04,2.3706976E-02
Mean corpuscular hemoglobin concentrati,Donor Hb,2685,6.0169989E-04,2.3706976E-02
Myelocyte count,Storage time,19,1.0761514E-03,3.7412088E-02
Hemoglobin,Donors prior number of donations,32641,1.0185045E-03,3.7412088E-02
Mean corpuscular volume,Donors prior number of donations,4306,1.5103934E-03,4.7608182E-02
Hemoglobin,Donors prior number of donations,32641,1.6111060E-03,4.7608182E-02
Hemoglobin,Donors prior number of donations,32641,1.6111060E-03,4.7608182E-02
Platelet count,Age of Donor,8521,3.4434713E-03,9.6909120E-02
aPTT,Storage time,6597,3.6925260E-03,9.9194675E-02
Platelet count,Weekday of donation,8524,5.8792504E-03,1.5107117E-01
PaCO2,Weekday of donation,14554,6.9751452E-03,1.7176295E-01
Potassium,Donors prior number of donations,19671,9.4941758E-03,2.2444232E-01
Myelocyte count,Donor born outside of Sweden,19,1.2572388E-02,2.4604479E-01
Mean corpuscular volume,Time since donors previous donation,4306,1.0991555E-02,2.4604479E-01
Mean corpuscular volume,Age of Donor,4305,1.2905903E-02,2.4604479E-01
Mean corpuscular volume,Age of Donor,4305,1.1460533E-02,2.4604479E-01
Mean corpuscular volume,Age of Donor,4305,1.2905903E-02,2.4604479E-01
Metamyelocyte count,Storage time,21,1.2234558E-02,2.4604479E-01
Mean corpuscular hemoglobin concentrati,Donors prior number of donations,2693,1.5702764E-02,2.9001043E-01
eGFR,Donor Hb,362,1.6354844E-02,2.9290039E-01
Reticulocyte count,Weekday of donation,37,1.7303933E-02,3.0078307E-01
Iron,Time of donation,76,2.2731881E-02,3.7768027E-01
Hemoglobin,Time since donors previous donation,32641,2.3005905E-02,3.7768027E-01
Chloride,Donor sex,16533,2.3928024E-02,3.8197295E-01
Fibrinogen,Weekday of donation,4113,2.4560020E-02,3.8197295E-01
NT-ProBNP,Age of Donor,66,3.2273651E-02,4.0256669E-01
INR,Time since donors previous donation,5874,2.7927789E-02,4.0256669E-01
pH,Donor born outside of Sweden,16984,3.2695771E-02,4.0256669E-01
Reticulocyte count,Time since donors previous donation,37,2.6962247E-02,4.0256669E-01
HbA1c,Donor Hb,134,3.1225561E-02,4.0256669E-01
NT-ProBNP,Age of Donor,66,3.2273651E-02,4.0256669E-01
NT-ProBNP,Donor Hb,66,3.2236938E-02,4.0256669E-01
Mean corpuscular hemoglobin,Donors prior number of donations,4328,3.0445158E-02,4.0256669E-01
Mean corpuscular hemoglobin concentrati,Time since donors previous donation,2693,3.2106058E-02,4.0256669E-01
pH,Donor born outside of Sweden,16984,3.2695771E-02,4.0256669E-01
Mean corpuscular hemoglobin,Donor born outside of Sweden,4328,3.3684053E-02,4.0627093E-01
Calcium,Weekday of donation,656,3.7832277E-02,4.2997838E-01
Troponin T,Storage time,1759,3.6977399E-02,4.2997838E-01
Creatinine,Donor born outside of Sweden,4258,3.7197937E-02,4.2997838E-01
Albumin,Time of donation,1391,3.8754930E-02,4.3215403E-01
Base Excess,Time of donation,7808,3.9924527E-02,4.3695177E-01
pH,Donor born outside of Sweden,16984,4.0808217E-02,4.3850285E-01
Troponin I,Donor sex,312,4.4919427E-02,4.4428075E-01
Basophiles,Storage time,112,4.4913878E-02,4.4428075E-01
CO-Hb,Donor Hb,11996,4.2501950E-02,4.4428075E-01
Mean corpuscular hemoglobin concentrati,Donor sex,2693,4.5104645E-02,4.4428075E-01
